/*
*********************************************************************************************************
*	            
*	型号: STM32F407ZET6
*	封装: LQFP-144
*
*********************************************************************************************************
*/

编号    功能
 91 PG6/FSMC_INT2
 92 PG7/FSMC_INT3/USART6_CK
 93 PG8/USART6_RTS/ETH_PPS_OUT
 94 VSS
 95 VDD
 96 PC6/I2S2_MCK/TIM8_CH1/SDIO_D6/USART6_TX/DCMI_D0/TIM3_CH1
 97 PC7/I2S3_MCK/TIM8_CH2/SDIO_D7/USART6_RX/DCMI_D1/TIM3_CH2
 98 PC8/TIM8_CH3/SDIO_D0/TIM3_CH3/USART6_CK/DCMI_D2
 99 PC9/I2S_CKIN/MCO2/TIM8_CH4/SDIO_D1/I2C3_SDA/DCMI_D3/TIM3_CH4
100 PA8/MCO1/USART1_CK/TIM1_CH1/I2C3_SCL/OTG_FS_SOF
101 PA9/USART1_TX/TIM1_CH2/I2C3_SMBA/DCMI_D0[OTG_FS_VBUS]
102 PA10/USART1_RX/TIM1_CH3/OTG_FS_ID/DCMI_D1
103 PA11/USART1_CTS/CAN1_RX/TIM1_CH4/OTG_FS_DM
104 PA12/USART1_RTS/CAN1_TX/TIM1_ETR/OTG_FS_DP
105 PA13(JTMS-SWDIO)/JTMS-SWDIO
106 VCAP_2
107 VSS
108 VDD
109 PA14(JTCK-SWCLK)/JTCK-SWCLK
110 PA15(JTDI)/JTDI/SPI3_NSS/I2S3_WS/TIM2_CH1_ETR/SPI1_NSS
111 PC10/SPI3_SCK/I2S3_CK/UART4_TX/SDIO_D2/DCMI_D8/USART3_TX
112 PC11/UART4_RX/SPI3_MISO/SDIO_D3/DCMI_D4/USART3_RX/I2S3ext_SD
113 PC12/UART5_TX/SDIO_CK/DCMI_D9/SPI3_MOSI/I2S3_SD/USART3_CK
114 PD0/FSMC_D2/CAN1_RX
115 PD1/FSMC_D3/CAN1_TX
116 PD2/TIM3_ETR/UART5_RX/SDIO_CMD/DCMI_D11
117 PD3/FSMC_CLK/USART2_CTS
118 PD4/FSMC_NOE/USART2_RTS
119 PD5/FSMC_NWE/USART2_TX
120 VSS
121 VDD
122 PD6/FSMC_NWAIT/USART2_RX
123 PD7/USART2_CK/FSMC_NE1/FSMC_NCE2
124 PG9/USART6_RX/FSMC_NE2/FSMC_NCE3
125 PG10/FSMC_NCE4_1/FSMC_NE3
126 PG11/FSMC_NCE4_2/ETH_MII_TX_EN/ETH_RMII_TX_EN
127 PG12/FSMC_NE4/USART6_RTS
128 PG13/FSMC_A24/USART6_CTS/ETH_MII_TXD0/ETH_RMII_TXD0
129 PG14/FSMC_A25/USART6_TX/ETH_MII_TXD1/ETH_RMII_TXD1
130 VSS
131 VDD
132 PG15/USART6_CTS/DCMI_D13
133 PB3(JTDO/TRACESWO)/JTDO/TRACESWO/SPI3_SCK/I2S3_CK/TIM2_CH2/SPI1_SCK
134 PB4(NJTRST)/NJTRST/SPI3_MISO/TIM3_CH1/SPI1_MISO/I2S3ext_SD
135 PB5/I2C1_SMBA/CAN2_RX/OTG_HS_ULPI_D7/ETH_PPS_OUT/TIM3_CH2/SPI1_MOSI/SPI3_MOSI/DCMI_D10/I2S3_SD
136 PB6/I2C1_SCL/TIM4_CH1/CAN2_TX/DCMI_D5/USART1_TX
137 PB7/I2C1_SDA/FSMC_NL/DCMI_VSYNC/USART1_RX/TIM4_CH2
138 BOOT0
139 PB8/TIM4_CH3/SDIO_D4/TIM10_CH1/DCMI_D6/ETH_MII_TXD3/I2C1_SCL/CAN1_RX
140 PB9/SPI2_NSS/I2S2_WS/TIM4_CH4/TIM11_CH1/SDIO_D5/DCMI_D7/I2C1_SDA/CAN1_TX
141 PE0/TIM4_ETR/FSMC_NBL0/DCMI_D2
142 PE1/FSMC_NBL1/DCMI_D3
143 PDR_ON
144 VDD


=== 结束 ====

【其中OTG_HS_ULPI 高速USB2.0接口,需要占用10个GPIO】

 25 PC0/OTG_HS_ULPI_STP[ADC123_IN10]
 28 PC2/SPI2_MISO/OTG_HS_ULPI_DIR/ETH_MII_TXD2/I2S2ext_SD[ADC123_IN12] ----有2个----
 37 PA3/USART2_RX/TIM5_CH4/TIM9_CH2/TIM2_CH4/OTG_HS_ULPI_D0/ETH_MII_COL[ADC123_IN3]
 41 PA5/SPI1_SCK/OTG_HS_ULPI_CK/TIM2_CH1_ETR/TIM8_CHIN[ADC12_IN5/DAC2_OUT]
 46 PB0/TIM3_CH3/TIM8_CH2N/OTG_HS_ULPI_D1/ETH_MII_RXD2/TIM1_CH2N[ADC12_IN8]
 47 PB1/TIM3_CH4/TIM8_CH3N/OTG_HS_ULPI_D2/ETH_MII_RXD3/OTG_HS_INTN/TIM1_CH3N[ADC12_IN9]
 69 PB10/SPI2_SCK/I2S2_CK/I2C2_SCL/USART3_TX/OTG_HS_ULPI_D3/ETH_MII_RX_ER/TIM2_CH3
 70 PB11/I2C2_SDA/USART3_RX/OTG_HS_ULPI_D4/ETH_RMII_TX_EN/ETH_MII_TX_EN/TIM2_CH4
 73 PB12/SPI2_NSS/I2S2_WS/I2C2_SMBA/USART3_CK/TIM1_BKIN/CAN2_RX/OTG_HS_ULPI_D5/ETH_RMII_TXD0/ETH_MII_TXD0/OTG_HS_ID
 74 PB13/SPI2_SCK/I2S2_CK/USART3_CTS/TIM1_CH1N/CAN2_TX/OTG_HS_ULPI_D6/ETH_RMII_TXD1/ETH_MII_TXD1[OTG_HS_VBUS]
